,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Cleaned_Size
3085,"theScore: Live Sports Scores, News, Stats & Videos",SPORTS,4.4,133833,34.0,10000000,Free,0.0,Everyone 10+,Sports,"July 25, 2018",6.17.2,4.4 and up,34
3086,Fantasy Football & NFL News,SPORTS,4.5,2943,8.1,100000,Free,0.0,Everyone,Sports,"May 15, 2018",6.1.3,2.3.3 and up,8.1
3087,NBA,SPORTS,4.4,108318,35.0,10000000,Free,0.0,Everyone,Sports,"July 9, 2018",2017.7.1,4.4 and up,35
3088,Golfshot: Golf GPS + Tee Times,SPORTS,4.3,7543,25.0,500000,Free,0.0,Everyone,Sports,"July 11, 2018",1.31.0,4.1 and up,25
3091,"Yahoo Sports - scores, stats, news, & highlights",SPORTS,4.5,32386,19.0,1000000,Free,0.0,Everyone,Sports,"August 1, 2018",7.8.0,5.1 and up,19
3092,NHL,SPORTS,4.0,68935,48.0,5000000,Free,0.0,Everyone,Sports,"June 27, 2018",9.4.0,4.2 and up,48
3093,NASCAR MOBILE,SPORTS,4.2,80900,21.0,1000000,Free,0.0,Everyone,Sports,"July 25, 2018",7.1.7.4,4.4 and up,21
3094,WatchESPN,SPORTS,4.1,288809,6.6,10000000,Free,0.0,Everyone,Sports,"September 27, 2017",2.5.1,4.4 and up,6.6
3095,MLB Ballpark,SPORTS,3.9,5511,32.0,1000000,Free,0.0,Everyone,Sports,"July 16, 2018",7.3.0,4.2 and up,32
3097,"FOX Sports: Live Streaming, Scores & News",SPORTS,4.0,28895,82.0,5000000,Free,0.0,Teen,Sports,"August 2, 2018",4.4.15,5.0 and up,82
3098,Fantasy Football,SPORTS,3.5,50179,23.0,1000000,Free,0.0,Everyone,Sports,"August 2, 2018",2.5.7.1,5.0 and up,23
3099,PGA TOUR,SPORTS,4.0,11151,52.0,1000000,Free,0.0,Everyone,Sports,"June 27, 2018",2018.6,5.0 and up,52
3102,"Expedia Hotels, Flights & Car Rental Travel Deals",TRAVEL_AND_LOCAL,4.1,136626,14.0,10000000,Free,0.0,Everyone,Travel & Local,"August 6, 2018",18.30.0,5.0 and up,14
3105,TripIt: Travel Organizer,TRAVEL_AND_LOCAL,4.4,49190,25.0,1000000,Free,0.0,Everyone,Travel & Local,"June 15, 2018",7.5.0,5.0 and up,25
3107,CityMaps2Go Plan Trips Travel Guide Offline Maps,TRAVEL_AND_LOCAL,4.3,64713,58.0,1000000,Free,0.0,Everyone,Travel & Local,"June 9, 2018",10.9.8 (Play),5.0 and up,58
3108,"KAYAK Flights, Hotels & Cars",TRAVEL_AND_LOCAL,4.5,216388,19.0,10000000,Free,0.0,Everyone,Travel & Local,"July 31, 2018",Varies with device,Varies with device,19
3109,Skyscanner,TRAVEL_AND_LOCAL,4.5,481545,29.0,10000000,Free,0.0,Everyone,Travel & Local,"August 6, 2018",5.48,4.4 and up,29
3110,World Travel Guide by Triposo,TRAVEL_AND_LOCAL,4.4,6012,81.0,500000,Free,0.0,Everyone,Travel & Local,"March 5, 2018",4.6.0,4.0.3 and up,81
3113,Hostelworld: Hostels & Cheap Hotels Travel App,TRAVEL_AND_LOCAL,4.4,17878,28.0,1000000,Free,0.0,Everyone,Travel & Local,"July 16, 2018",6.7.1,4.1 and up,28
3119,GPS Map Free,TRAVEL_AND_LOCAL,4.0,33782,7.6,5000000,Free,0.0,Everyone,Travel & Local,"July 11, 2018",4.6,4.0 and up,7.6
3120,Offline Maps & Navigation,TRAVEL_AND_LOCAL,4.7,192641,33.0,5000000,Free,0.0,Everyone,Travel & Local,"June 7, 2018",17.4.1,4.0.3 and up,33
3122,GasBuddy: Find Cheap Gas,TRAVEL_AND_LOCAL,4.6,751551,42.0,10000000,Free,0.0,Mature 17+,Travel & Local,"August 2, 2018",5.2.0 21127,4.4 and up,42
3123,Southwest Airlines,TRAVEL_AND_LOCAL,3.9,24781,8.3,5000000,Free,0.0,Everyone,Travel & Local,"July 11, 2018",5.6.1,6.0 and up,8.3
3124,"AT&T Navigator: Maps, Traffic",TRAVEL_AND_LOCAL,3.6,32862,14.0,10000000,Free,0.0,Everyone,Travel & Local,"December 6, 2016",5.10.6.2.8466393,4.1 and up,14
3128,AirAsia,TRAVEL_AND_LOCAL,3.9,98585,37.0,10000000,Free,0.0,Everyone,Travel & Local,"July 16, 2018",5.0.4,4.4 and up,37
3129,"Expedia Hotels, Flights & Car Rental Travel Deals",TRAVEL_AND_LOCAL,4.1,136633,14.0,10000000,Free,0.0,Everyone,Travel & Local,"August 6, 2018",18.30.0,5.0 and up,14
3131,Allegiant,TRAVEL_AND_LOCAL,3.1,5572,21.0,1000000,Free,0.0,Everyone,Travel & Local,"July 12, 2018",5.16.1,4.4 and up,21
3132,Amtrak,TRAVEL_AND_LOCAL,3.7,16815,28.0,1000000,Free,0.0,Everyone,Travel & Local,"July 15, 2018",3.1.3,5.0 and up,28
3133,JAL (Domestic and international flights),TRAVEL_AND_LOCAL,3.4,2277,27.0,1000000,Free,0.0,Everyone,Travel & Local,"May 7, 2018",4.4.7,4.0.3 and up,27
3135,VZ Navigator for Tablets,TRAVEL_AND_LOCAL,3.6,285,39.0,500000,Free,0.0,Everyone,Travel & Local,"January 22, 2018",10.7.8.111,4.2 and up,39
3137,"HSL - Tickets, route planner and information",TRAVEL_AND_LOCAL,3.3,256,17.0,100000,Free,0.0,Everyone,Travel & Local,"August 1, 2018",1.1.2,5.0 and up,17
3139,VZ Navigator for Galaxy S4,TRAVEL_AND_LOCAL,3.0,2750,39.0,5000000,Free,0.0,Everyone,Travel & Local,"January 22, 2018",10.7.8.111,4.2 and up,39
3140,MAIN,TRAVEL_AND_LOCAL,3.6,7081,51.0,1000000,Free,0.0,Everyone,Travel & Local,"August 6, 2018",4.1.21,4.4 and up,51
3141,"Yoriza Pension - travel, lodging, pension, camping, caravan, pool villas accommodation discount",TRAVEL_AND_LOCAL,4.8,17882,83.35,1000000,Free,0.0,Everyone,Travel & Local,"August 3, 2018",3.4.5,5.0 and up,86
3145,"Yatra - Flights, Hotels, Bus, Trains & Cabs",TRAVEL_AND_LOCAL,4.5,251037,26.0,10000000,Free,0.0,Everyone,Travel & Local,"August 5, 2018",13.0.16,4.1 and up,26
3147,Fly Delta,TRAVEL_AND_LOCAL,3.7,27560,46.0,5000000,Free,0.0,Everyone,Travel & Local,"July 31, 2018",4.13.2,5.0 and up,46
3148,Skyscanner,TRAVEL_AND_LOCAL,4.5,481546,29.0,10000000,Free,0.0,Everyone,Travel & Local,"August 6, 2018",5.48,4.4 and up,29
3149,Despegar.com Hotels and Flights,TRAVEL_AND_LOCAL,4.4,150932,27.0,10000000,Free,0.0,Everyone,Travel & Local,"July 30, 2018",9.1.0,4.1 and up,27
3150,Navigation Plus,TRAVEL_AND_LOCAL,4.1,928,14.0,1000000,Free,0.0,Everyone,Travel & Local,"January 9, 2018",11.0.269 (m),4.1 and up,14
3152,Poynt,TRAVEL_AND_LOCAL,4.0,26665,10.0,5000000,Free,0.0,Everyone,Travel & Local,"March 29, 2018",2.5.26,4.1 and up,10
3153,Gaode Map,TRAVEL_AND_LOCAL,3.9,13275,71.0,1000000,Free,0.0,Everyone,Travel & Local,"July 3, 2018",8.60.0.2586,4.0 and up,71
3154,"Priceline Hotel Deals, Rental Cars & Flights",TRAVEL_AND_LOCAL,4.4,48930,15.0,5000000,Free,0.0,Everyone,Travel & Local,"July 26, 2018",4.38.176,4.4 and up,15
3157,Free Radar Detector,TRAVEL_AND_LOCAL,4.3,15680,11.0,1000000,Free,0.0,Everyone,Travel & Local,"July 6, 2018",6.2.3,4.1 and up,11
3159,Where to travel - ticket. hotel. train ticket. car ticket. travel. tickets,TRAVEL_AND_LOCAL,4.2,5112,62.0,1000000,Free,0.0,Everyone,Travel & Local,"July 27, 2018",8.8.2,4.4 and up,62
3160,United Airlines,TRAVEL_AND_LOCAL,3.5,30447,80.0,5000000,Free,0.0,Everyone,Travel & Local,"July 20, 2018",2.1.56,5.0 and up,80
3161,NTES,TRAVEL_AND_LOCAL,4.3,165299,5.4,10000000,Free,0.0,Everyone,Travel & Local,"July 30, 2018",8.0,4.1 and up,5.4
3162,Where is my Train : Indian Railway & PNR Status,TRAVEL_AND_LOCAL,4.7,620534,9.8,10000000,Free,0.0,Everyone,Travel & Local,"July 30, 2018",5.7.3,4.0.3 and up,9.8
3166,Gormey: Find Best Restaurants,TRAVEL_AND_LOCAL,4.3,34,7.6,1000,Free,0.0,Everyone,Travel & Local,"August 29, 2017",2.3,4.0.3 and up,7.6
3167,Find Dining Restaurant Finder,TRAVEL_AND_LOCAL,4.1,427,26.0,100000,Free,0.0,Everyone,Travel & Local,"March 21, 2016",1.2.1,4.1 and up,26
3168,Urbanspoon Restaurant Reviews,TRAVEL_AND_LOCAL,4.2,35560,13.0,5000000,Free,0.0,Everyone,Travel & Local,"July 5, 2016",4.0.21,4.0.3 and up,13
3171,Qatar Airways,TRAVEL_AND_LOCAL,4.3,11182,62.0,1000000,Free,0.0,Everyone,Travel & Local,"July 30, 2018",11.26,4.1 and up,62
3172,Hipmunk Hotels & Flights,TRAVEL_AND_LOCAL,4.3,16734,10.0,1000000,Free,0.0,Everyone,Travel & Local,"July 31, 2018",8.8.2,5.0 and up,10.0
3173,"Priceline Hotel Deals, Rental Cars & Flights",TRAVEL_AND_LOCAL,4.4,48930,15.0,5000000,Free,0.0,Everyone,Travel & Local,"July 26, 2018",4.38.176,4.4 and up,15
3174,United Airlines,TRAVEL_AND_LOCAL,3.5,30447,80.0,5000000,Free,0.0,Everyone,Travel & Local,"July 20, 2018",2.1.56,5.0 and up,80
3175,"Expedia Hotels, Flights & Car Rental Travel Deals",TRAVEL_AND_LOCAL,4.1,136626,14.0,10000000,Free,0.0,Everyone,Travel & Local,"August 6, 2018",18.30.0,5.0 and up,14
3177,CWT To Go,TRAVEL_AND_LOCAL,4.4,20313,57.0,100000,Free,0.0,Everyone,Travel & Local,"August 5, 2018",17.7.8,4.4 and up,57
3178,British Airways,TRAVEL_AND_LOCAL,4.2,25740,51.0,1000000,Free,0.0,Everyone,Travel & Local,"July 24, 2018",4.20,4.4 and up,51
3179,Southwest Airlines,TRAVEL_AND_LOCAL,3.9,24781,8.3,5000000,Free,0.0,Everyone,Travel & Local,"July 11, 2018",5.6.1,6.0 and up,8.3
3180,Cheap Flights & Hotels momondo,TRAVEL_AND_LOCAL,4.2,42546,24.0,5000000,Free,0.0,Everyone,Travel & Local,"April 25, 2018",7.6.5,4.4 and up,24
3182,JetBlue,TRAVEL_AND_LOCAL,4.4,24281,29.0,1000000,Free,0.0,Everyone,Travel & Local,"July 25, 2018",4.4.2,4.4 and up,29
3184,Flights,TRAVEL_AND_LOCAL,4.4,18039,3.1,1000000,Free,0.0,Everyone,Travel & Local,"July 26, 2018",3.6.6,4.1 and up,3.1
3185,Fly Delta,TRAVEL_AND_LOCAL,3.7,27560,46.0,5000000,Free,0.0,Everyone,Travel & Local,"July 31, 2018",4.13.2,5.0 and up,46
3186,The Emirates App,TRAVEL_AND_LOCAL,4.4,22748,55.0,1000000,Free,0.0,Everyone,Travel & Local,"August 6, 2018",4.7.1,5.0 and up,55
3187,"KAYAK Flights, Hotels & Cars",TRAVEL_AND_LOCAL,4.5,216388,19.0,10000000,Free,0.0,Everyone,Travel & Local,"July 31, 2018",Varies with device,Varies with device,19
3189,Cheapflights – Flight Search,TRAVEL_AND_LOCAL,4.4,47780,19.0,5000000,Free,0.0,Everyone,Travel & Local,"July 31, 2018",Varies with device,Varies with device,19
3190,KLM - Royal Dutch Airlines,TRAVEL_AND_LOCAL,3.7,7705,40.0,1000000,Free,0.0,Everyone,Travel & Local,"August 6, 2018",9.7.1,4.1 and up,40
3192,Skyscanner,TRAVEL_AND_LOCAL,4.5,481546,29.0,10000000,Free,0.0,Everyone,Travel & Local,"August 6, 2018",5.48,4.4 and up,29
3193,Lufthansa,TRAVEL_AND_LOCAL,3.6,14544,43.0,1000000,Free,0.0,Everyone,Travel & Local,"July 27, 2018",7.2.5,4.1 and up,43
3194,easyJet: Travel App,TRAVEL_AND_LOCAL,4.4,134895,50.0,10000000,Free,0.0,Everyone,Travel & Local,"July 1, 2018",2.32.2,4.2 and up,50
3196,LateRooms: Find Hotel Deals,TRAVEL_AND_LOCAL,4.1,2419,13.0,1000000,Free,0.0,Everyone,Travel & Local,"May 29, 2018",1.24.5,4.1 and up,13
3200,"Priceline Hotel Deals, Rental Cars & Flights",TRAVEL_AND_LOCAL,4.4,48930,15.0,5000000,Free,0.0,Everyone,Travel & Local,"July 26, 2018",4.38.176,4.4 and up,15
3201,HOTEL DEALS,TRAVEL_AND_LOCAL,4.2,1609,4.0,100000,Free,0.0,Everyone,Travel & Local,"April 26, 2018",53.89.55,4.1 and up,4.0
3203,"Expedia Hotels, Flights & Car Rental Travel Deals",TRAVEL_AND_LOCAL,4.1,136626,14.0,10000000,Free,0.0,Everyone,Travel & Local,"August 6, 2018",18.30.0,5.0 and up,14
3205,"KAYAK Flights, Hotels & Cars",TRAVEL_AND_LOCAL,4.5,216388,19.0,10000000,Free,0.0,Everyone,Travel & Local,"July 31, 2018",Varies with device,Varies with device,19
3207,Skyscanner,TRAVEL_AND_LOCAL,4.5,481546,29.0,10000000,Free,0.0,Everyone,Travel & Local,"August 6, 2018",5.48,4.4 and up,29
3208,IHG®: Hotel Deals & Rewards,TRAVEL_AND_LOCAL,4.3,18622,44.0,1000000,Free,0.0,Everyone,Travel & Local,"August 3, 2018",4.15.1,4.4 and up,44
3209,SPG: Starwood Hotels & Resorts,TRAVEL_AND_LOCAL,4.2,8258,22.0,1000000,Free,0.0,Everyone,Travel & Local,"July 3, 2018",v5.4.3,4.4 and up,22
3213,Hostelworld: Hostels & Cheap Hotels Travel App,TRAVEL_AND_LOCAL,4.4,17878,28.0,1000000,Free,0.0,Everyone,Travel & Local,"July 16, 2018",6.7.1,4.1 and up,28
3216,Hotels Combined - Cheap deals,TRAVEL_AND_LOCAL,4.1,17202,12.0,5000000,Free,0.0,Everyone,Travel & Local,"November 13, 2017",4.9.2,4.1 and up,12
3218,Turo - Better Than Car Rental,TRAVEL_AND_LOCAL,4.4,14114,46.0,1000000,Free,0.0,Everyone,Travel & Local,"August 4, 2018",18.21.0,5.0 and up,46
3219,Ascape VR: 360° Virtual Travel,TRAVEL_AND_LOCAL,4.1,890,7.6,100000,Free,0.0,Everyone,Travel & Local;Action & Adventure,"August 9, 2017",4.0.38,4.4 and up,7.6
3221,Skyscanner,TRAVEL_AND_LOCAL,4.5,481546,29.0,10000000,Free,0.0,Everyone,Travel & Local,"August 6, 2018",5.48,4.4 and up,29
3224,GPS Status & Toolbox,TRAVEL_AND_LOCAL,4.5,149723,4.1,10000000,Free,0.0,Everyone,Travel & Local,"June 13, 2018",8.1.171,4.0 and up,4.1
3225,Airport + Flight Tracker Radar,TRAVEL_AND_LOCAL,4.2,6762,8.5,1000000,Free,0.0,Everyone,Travel & Local,"July 14, 2015",8.0,4.0 and up,8.5
3226,Scout GPS Navigation & Meet Up,TRAVEL_AND_LOCAL,4.2,120373,31.0,5000000,Free,0.0,Everyone,Travel & Local,"July 31, 2018",3.19.35.999,4.0.3 and up,31
3227,Street Panorama View,TRAVEL_AND_LOCAL,4.2,40225,4.1,1000000,Free,0.0,Everyone,Travel & Local,"July 18, 2018",4.0.3,4.1 and up,4.1
3229,DreamTrips,TRAVEL_AND_LOCAL,4.7,9971,22.0,500000,Free,0.0,Teen,Travel & Local,"August 6, 2018",1.28.1,5.0 and up,22
3231,Sygic Truck GPS Navigation,TRAVEL_AND_LOCAL,4.2,18294,28.0,1000000,Free,0.0,Everyone,Travel & Local,"August 2, 2018",13.8.3,4.0 and up,28
3233,Moto File Manager,TOOLS,4.1,38655,5.9,10000000,Free,0.0,Everyone,Tools,"February 1, 2018",v3.7.93,5.0 and up,5.9
3237,Motorola Alert,TOOLS,4.2,24199,3.9,50000000,Free,0.0,Everyone,Tools,"November 21, 2014",1.02.53,4.4 and up,3.9
3239,Cache Cleaner-DU Speed Booster (booster & cleaner),TOOLS,4.5,12759663,15.0,100000000,Free,0.0,Everyone,Tools,"July 25, 2018",3.1.2,4.0 and up,15
3240,Moto Suggestions ™,TOOLS,4.6,308,4.3,1000000,Free,0.0,Everyone,Tools,"June 8, 2018",0.2.32,8.0 and up,4.3
3245,myMetro,TOOLS,4.0,26189,5.3,10000000,Free,0.0,Everyone,Tools,"June 27, 2018",MyMetro_HTML_2.0_430029,4.0 and up,5.3
3247,My Telcel,TOOLS,3.1,45838,16.0,50000000,Free,0.0,Everyone,Tools,"July 25, 2018",7.6.1,4.1 and up,16
3248,"Calculator - free calculator, multi calculator app",TOOLS,4.6,25592,7.5,10000000,Free,0.0,Everyone,Tools,"July 31, 2018",v8.0.1.8.0629.1,4.2 and up,7.5
3254,"Calculator - free calculator ,multi calculator app",TOOLS,4.4,1236,5.8,100000,Free,0.0,Everyone,Tools,"July 6, 2018",8.1.6,4.2 and up,5.8
3255,SHAREit - Transfer & Share,TOOLS,4.6,7790693,17.0,500000000,Free,0.0,Everyone,Tools,"July 30, 2018",4.5.28_ww,4.1 and up,17
3257,Files Go by Google: Free up space on your phone,TOOLS,4.6,315585,8.5,10000000,Free,0.0,Everyone,Tools,"July 18, 2018",1.0.204375696,5.0 and up,8.5
3259,Nokia mobile support,TOOLS,4.4,12215,9.1,5000000,Free,0.0,Everyone,Tools,"August 1, 2018",1.7.4,7.0 and up,9.1
3260,File Manager -- Take Command of Your Files Easily,TOOLS,4.2,127223,7.6,10000000,Free,0.0,Everyone,Tools,"August 3, 2018",v7.0.7.1.0625.1_06_0629,5.0 and up,7.6
3261,Samsung Calculator,TOOLS,4.4,9602,2.5,100000000,Free,0.0,Everyone,Tools,"July 5, 2018",6.0.61.5,7.0 and up,2.5
3262,Clear,TOOLS,3.1,24151,15.0,10000000,Free,0.0,Everyone,Tools,"August 6, 2018",11.7.0,4.1 and up,15
3267,AT&T Smart Wi-Fi,TOOLS,3.9,18513,6.1,10000000,Free,0.0,Everyone,Tools,"April 26, 2018",3.2,4.1 and up,6.1
3269,Sound Recorder: Recorder & Voice Changer Free,TOOLS,3.9,14552,17.0,10000000,Free,0.0,Everyone,Tools,"July 31, 2018",v7.0.9.1.0526.1_06_0704,5.0 and up,17
3274,TouchPal Keyboard for vivo,TOOLS,4.3,357,58.0,1000000,Free,0.0,Everyone,Tools,"May 30, 2018",6.2.6.7,4.0.3 and up,58
3275,Google Assistant Go,TOOLS,3.7,315,4.6,500000,Free,0.0,Everyone,Tools,"July 27, 2018",1.8.203182757.armeabi-v7a.release,8.0 and up,4.6
3276,My love,TOOLS,3.5,163997,16.0,10000000,Free,0.0,Everyone,Tools,"August 5, 2018",5.36,4.2 and up,16
3277,DuraSpeed,TOOLS,3.8,5431,1.3,10000000,Free,0.0,Everyone,Tools,"November 13, 2017",1.5.0,6.0 and up,1.3
3278,HTC Sense Input-LV,TOOLS,3.6,59,2.3,50000,Free,0.0,Everyone,Tools,"April 22, 2014",9.7.753080,4.1 and up,2.3
3279,HTC Sense Input-CA,TOOLS,3.1,124,1.9,100000,Free,0.0,Everyone,Tools,"April 22, 2014",9.7.753080,4.1 and up,1.9
3280,HTC Sense Input-AR,TOOLS,3.8,1420,2.7,100000,Free,0.0,Everyone,Tools,"April 22, 2014",9.7.753080,4.1 and up,2.7
3281,Digital Alarm Clock,TOOLS,4.2,118439,16.0,10000000,Free,0.0,Everyone,Tools,"June 19, 2018",10.4,4.4 and up,16
3282,Alarm Clock Free,TOOLS,4.0,59973,11.0,10000000,Free,0.0,Everyone,Tools,"March 16, 2018",1.2.5,4.0 and up,11
3283,Puzzle Alarm Clock ⏰,TOOLS,4.3,32111,5.3,1000000,Free,0.0,Everyone,Tools,"August 3, 2018",3.1.0.1126,4.4 and up,5.3
3285,I Can't Wake Up! Alarm Clock,TOOLS,4.5,70404,4.2,1000000,Free,0.0,Everyone,Tools,"May 25, 2018",3.4.0,4.0 and up,4.2
3287,Brightest Flashlight - LED Light,TOOLS,4.5,876866,9.1,50000000,Free,0.0,Everyone,Tools,"July 27, 2018",1.4.9,4.0.3 and up,9.1
3288,LED Flashlight,TOOLS,4.4,207706,4.3,10000000,Free,0.0,Everyone,Tools,"July 10, 2017",2.4,3.0 and up,4.3
3293,"CM Flashlight (Compass, SOS)",TOOLS,4.4,166367,1.8,5000000,Free,0.0,Everyone,Tools,"May 25, 2018",1.4.0,2.3 and up,1.8
3295,Flashlight - Torch LED Light,TOOLS,4.4,192661,8.5,10000000,Free,0.0,Everyone,Tools,"July 7, 2018",2.4.1,4.1 and up,8.5
3296,Super Flashlight + LED,TOOLS,4.3,54207,4.4,5000000,Free,0.0,Everyone,Tools,"July 11, 2017",3.2,3.0 and up,4.4
3298,Brightest Flashlight Free ®,TOOLS,4.7,1335799,3.8,50000000,Free,0.0,Everyone,Tools,"October 27, 2017",2.5.2,4.2 and up,3.8
3299,Fraction Calculator Plus Free,TOOLS,4.5,148506,11.0,5000000,Free,0.0,Everyone,Tools,"July 15, 2018",Varies with device,Varies with device,11
3301,CALCU™ Stylish Calculator Free,TOOLS,4.7,152692,11.0,5000000,Free,0.0,Everyone,Tools,"July 7, 2018",3.5.6,4.1 and up,11
3303,Calculator with Percent (Free),TOOLS,4.8,48211,7.4,1000000,Free,0.0,Everyone,Tools,"November 18, 2017",32.1,4.1 and up,7.4
3304,Graphing Calculator,TOOLS,3.9,12388,5.3,1000000,Free,0.0,Everyone,Tools,"April 1, 2016",1.17,2.3 and up,5.3
3305,Unit Converter,TOOLS,4.5,85387,5.4,1000000,Free,0.0,Everyone,Tools,"July 3, 2018",2.1.54,4.0 and up,5.4
3306,Calculator ++,TOOLS,4.6,33509,3.6,1000000,Free,0.0,Everyone,Tools,"May 12, 2018",2.2.7,4.4 and up,3.6
3308,ConvertPad - Unit Converter,TOOLS,4.4,90831,4.3,10000000,Free,0.0,Everyone,Tools,"June 18, 2017",3.1.00,4.2 and up,4.3
3310,Classic Calculator,TOOLS,4.0,85659,27.0,5000000,Free,0.0,Everyone,Tools,"February 25, 2018",1.51,3.0 and up,27
3312,weight conversion calculator,TOOLS,4.0,807,1.8,100000,Free,0.0,Everyone,Tools,"May 18, 2018",20180517,2.3 and up,1.8
3313,Age Calculator,TOOLS,4.4,24265,3.3,1000000,Free,0.0,Everyone,Tools,"July 25, 2017",4.0.6,4.0.3 and up,3.3
3314,EzCalculator,TOOLS,4.1,1657,2.0,100000,Free,0.0,Everyone,Tools,"September 17, 2017",2.1.0,5.0 and up,2.0
3315,SuperVPN Free VPN Client,TOOLS,4.3,576454,6.1,50000000,Free,0.0,Everyone,Tools,"February 5, 2018",2.0.9,4.0.3 and up,6.1
3316,Hideman VPN,TOOLS,4.1,88675,9.6,5000000,Free,0.0,Everyone,Tools,"July 24, 2018",6.0.1,4.0 and up,9.6
3317,Fast Secure VPN,TOOLS,4.3,56848,9.6,1000000,Free,0.0,Everyone,Tools,"May 18, 2018",1.6.11,4.1 and up,9.6
3318,Free & Premium VPN - FinchVPN,TOOLS,4.2,19096,10.0,1000000,Free,0.0,Everyone,Tools,"July 5, 2018",2.0.2,4.1 and up,10
3319,Hotspot Shield Free VPN Proxy & Wi-Fi Security,TOOLS,4.2,1116393,8.2,50000000,Free,0.0,Everyone,Tools,"August 6, 2018",6.1.0,4.1 and up,8.2
3320,OpenVPN Connect – Fast & Safe SSL VPN Client,TOOLS,4.2,154578,14.0,10000000,Free,0.0,Everyone,Tools,"May 25, 2018",3.0.5,4.1 and up,14
3321,"VPN - Fast, Secure & Unlimited WiFi with VyprVPN",TOOLS,4.2,40676,25.0,1000000,Free,0.0,Everyone,Tools,"July 5, 2018",2.27.1,4.1 and up,25
3322,FREEDOME VPN Unlimited anonymous Wifi Security,TOOLS,4.3,39833,9.9,1000000,Free,0.0,Everyone,Tools,"July 9, 2018",2.5.1.7592,4.0.3 and up,9.9
3323,SurfEasy Secure Android VPN,TOOLS,4.5,273283,22.0,5000000,Free,0.0,Everyone,Tools,"July 11, 2018",4.1.0,4.0.3 and up,22
3325,VPN Free - Betternet Hotspot VPN & Private Browser,TOOLS,4.5,801054,8.9,10000000,Free,0.0,Everyone,Tools,"August 1, 2018",4.3.0,4.1 and up,8.9
3327,Smart Keyboard Trial,TOOLS,4.1,65597,2.4,10000000,Free,0.0,Everyone,Tools,"April 28, 2017",4.20.1,2.3 and up,2.4
3328,"Emoji keyboard - Cute Emoticons, GIF, Stickers",TOOLS,4.4,1107320,25.0,50000000,Free,0.0,Everyone,Tools,"August 7, 2018",3.4.500,4.1 and up,25
3331,Wifi Analyzer,TOOLS,4.4,335115,1.8,10000000,Free,0.0,Everyone,Tools,"April 7, 2018",3.11.2,6.0 and up,1.8
3332,Network Signal Info,TOOLS,4.1,33926,17.0,1000000,Free,0.0,Everyone,Tools,"August 3, 2018",4.78.06,4.2 and up,17
3334,osmino Wi-Fi: free WiFi,TOOLS,4.2,134203,4.1,10000000,Free,0.0,Everyone,Tools,"August 6, 2018",6.06.14,4.4 and up,4.1
3335,WiFi Overview 360,TOOLS,4.1,15693,18.0,1000000,Free,0.0,Everyone,Tools,"August 3, 2018",4.32.07,4.2 and up,18
3336,Speedcheck,TOOLS,4.6,48979,14.0,1000000,Free,0.0,Everyone,Tools,"August 4, 2018",5.0.0.8,4.0.3 and up,14
3340,NETGEAR WiFi Analytics,TOOLS,4.1,9496,83.35,1000000,Free,0.0,Everyone,Tools,"April 25, 2014",1.0.19,2.2 and up,696
3341,Keypad Lock Screen,TOOLS,4.2,428581,4.7,10000000,Free,0.0,Everyone,Tools,"July 17, 2018",1.33,4.0 and up,4.7
3342,photo keypad lockscreen,TOOLS,4.1,225544,8.1,10000000,Free,0.0,Everyone,Tools,"July 17, 2018",3.1.2,4.0 and up,8.1
3344,Solo Locker (DIY Locker),TOOLS,4.5,474439,7.9,10000000,Free,0.0,Everyone,Tools,"June 26, 2018",6.1.7.5,4.2 and up,7.9
3345,Lock Screen,TOOLS,4.0,41137,4.6,1000000,Free,0.0,Everyone,Tools,"November 15, 2017",1.7.3,3.2 and up,4.6
3346,ZERO Lock Screen,TOOLS,3.5,75336,83.35,1000000,Free,0.0,Everyone,Tools,"February 5, 2016",1.3,4.0 and up,544
3347,AppLock - Fingerprint,TOOLS,4.4,745245,3.5,10000000,Free,0.0,Everyone,Tools,"April 13, 2018",7.2.0,2.3 and up,3.5
3350,Screen Off and Lock,TOOLS,4.1,172990,83.35,10000000,Free,0.0,Everyone,Tools,"December 2, 2017",1.17.4,2.2 and up,525
3351,Screen Lock,TOOLS,4.2,68309,2.1,1000000,Free,0.0,Everyone,Tools,"November 23, 2017",v3.9f,4.0 and up,2.1
3353,Funny Ringtones,PERSONALIZATION,4.4,7146,14.0,1000000,Free,0.0,Everyone 10+,Personalization,"February 2, 2018",1.1,4.0 and up,14
3355,"XOS - Launcher,Theme,Wallpaper",PERSONALIZATION,4.6,49657,8.7,5000000,Free,0.0,Everyone,Personalization,"August 6, 2018",3.6.21_pre,4.4 and up,8.7
3356,3D Live Neon Weed Launcher,PERSONALIZATION,4.5,1724,21.0,100000,Free,0.0,Mature 17+,Personalization,"June 26, 2018",5.34.10,4.0.3 and up,21
3358,Golden Launcher,PERSONALIZATION,4.4,32794,12.0,5000000,Free,0.0,Everyone,Personalization,"July 31, 2018",1.284.1.83,4.2 and up,12
3359,Launcher,PERSONALIZATION,4.5,102923,18.0,1000000,Free,0.0,Everyone,Personalization,"July 10, 2018",2.1.2,5.0 and up,18
